crop_type,soil_moisture,temperature,rainfall,irrigation_amount_mm
rice,46.22,12.69,1.18,59.74
rice,15.52,30.97,14.66,70.8
rice,48.91,19.36,0.23,60.91
rice,46.6,20.95,4.74,59.43
rice,45.86,40.31,43.99,45.62
rice,45.26,34.54,17.1,57.77
rice,34.49,10.54,13.12,58.68
rice,67.45,23.97,27.47,35.51
rice,21.31,33.54,56.59,46.68
rice,54.9,42.01,8.54,60.07
rice,25.52,25.2,19.28,61.43
rice,46.8,32.32,4.16,62.11
rice,52.84,13.2,3.33,56.34
rice,10.82,18.69,3.62,75.42
rice,26.25,18.66,0.97,71.51
rice,46.4,33.55,1.27,63.9
rice,67.09,39.35,24.53,43.63
rice,47.01,36.0,20.09,55.96
rice,41.29,12.4,6.96,59.42
rice,42.3,19.41,6.89,59.92
rice,63.72,33.33,23.22,48.71
rice,24.9,34.69,8.37,69.81
rice,36.55,32.73,41.3,47.72
rice,11.31,20.54,10.48,68.26
rice,13.37,27.19,39.28,58.05
rice,34.58,32.93,4.52,67.24
rice,19.57,15.62,1.1,72.71
rice,62.9,38.49,17.33,49.32
rice,16.63,20.12,5.56,71.14
rice,42.13,22.49,6.55,56.72
rice,59.71,37.63,5.52,56.15
rice,40.34,42.94,31.35,53.75
rice,16.15,23.75,12.09,66.53
rice,61.53,33.69,27.29,44.61
rice,61.53,36.19,8.68,53.25
rice,50.42,16.27,17.76,50.22
rice,23.78,14.11,2.71,69.36
rice,19.68,12.92,0.29,74.87
rice,19.94,41.18,4.15,76.7
rice,23.34,28.17,14.04,65.76
rice,24.72,12.02,7.44,65.3
rice,67.59,31.57,12.21,47.51
rice,34.95,25.01,11.68,62.52
rice,20.3,27.5,7.96,71.92
rice,62.23,32.1,11.41,51.96
rice,17.03,21.8,2.31,71.05
rice,51.52,17.22,7.46,54.14
rice,40.47,24.67,0.27,64.24
rice,57.57,12.42,9.64,53.57
rice,51.32,18.86,0.15,59.52
rice,53.41,28.75,27.13,46.89
rice,39.11,21.68,23.52,52.4
rice,37.08,16.42,28.96,49.95
rice,14.54,23.57,24.41,64.67
rice,64.11,17.12,1.04,51.47
rice,42.51,43.88,1.03,71.77
rice,48.9,12.59,7.06,55.27
rice,69.83,29.57,5.81,51.97
rice,23.21,22.27,6.99,67.14
rice,37.85,35.3,16.04,60.59
rice,52.53,10.29,3.68,55.46
rice,10.32,38.16,22.23,75.12
rice,42.91,12.33,21.82,53.13
rice,55.1,38.11,10.95,58.04
rice,18.42,33.49,14.53,69.21
rice,21.7,41.16,20.79,69.55
rice,64.49,36.56,13.64,52.41
rice,44.73,32.13,2.55,64.37
rice,38.44,35.07,4.74,65.87
rice,24.49,17.52,8.3,64.57
rice,64.47,27.75,3.12,53.31
rice,32.97,38.76,16.16,64.32
rice,57.77,19.52,17.68,46.56
rice,48.18,21.36,4.71,57.13
rice,21.46,34.31,3.7,72.38
rice,49.72,38.52,22.58,55.12
rice,55.65,16.57,1.39,54.09
rice,35.94,11.09,4.51,64.97
rice,12.02,40.77,4.18,80.45
rice,50.01,21.31,34.23,41.73
rice,63.29,21.39,34.68,34.73
rice,44.6,12.35,1.5,61.4
rice,69.93,21.43,20.69,39.99
rice,69.86,18.45,0.62,49.98
rice,34.67,14.55,0.34,67.3
rice,43.97,20.95,15.93,52.6
rice,23.92,10.5,21.68,61.65
rice,12.34,39.3,14.5,76.32
cotton,43.8,31.86,29.97,26.81
cotton,69.44,36.49,8.76,39.45
cotton,52.44,23.62,3.9,35.16
cotton,65.75,21.97,11.25,30.0
cotton,22.7,44.85,59.54,24.23
cotton,52.91,30.76,0.82,39.32
cotton,37.29,33.62,16.98,33.62
cotton,20.04,27.51,17.61,37.54
cotton,51.83,32.7,4.83,37.87
cotton,45.96,16.28,18.32,24.31
cotton,37.31,33.37,27.24,28.32
cotton,51.98,39.34,24.35,32.15
cotton,67.66,28.76,10.06,31.42
cotton,44.36,19.7,38.13,15.46
cotton,44.99,30.75,6.58,34.4
cotton,46.41,40.83,32.17,26.62
cotton,49.54,17.39,29.82,19.84
cotton,54.25,20.03,24.34,23.15
cotton,69.83,11.05,34.15,18.36
cotton,37.9,39.66,0.97,43.04
cotton,30.12,12.35,55.54,12.19
cotton,66.28,12.98,7.31,31.81
cotton,14.26,17.38,3.91,42.03
cotton,16.06,15.86,2.39,44.23
cotton,68.38,36.58,51.52,12.92
cotton,57.9,21.42,5.34,31.8
cotton,23.95,14.54,4.45,42.05
cotton,13.75,17.37,24.83,32.69
cotton,18.82,21.99,30.0,27.05
cotton,43.8,38.13,2.21,40.52
cotton,44.84,27.69,2.33,34.37
cotton,39.27,12.88,9.23,31.88
cotton,28.39,38.78,0.88,45.12
cotton,53.5,30.1,16.5,26.91
cotton,56.62,40.18,5.65,41.68
cotton,69.37,41.13,6.97,39.78
cotton,21.71,27.13,20.3,30.54
cotton,60.29,22.65,29.47,18.72
cotton,34.41,21.49,9.08,32.44
cotton,21.79,43.3,2.89,51.19
cotton,44.06,30.28,10.09,31.82
cotton,43.16,23.03,16.26,28.67
cotton,18.47,29.98,3.07,45.38
cotton,20.97,38.9,5.05,47.13
cotton,65.63,43.95,12.7,37.3
cotton,57.86,22.86,1.37,33.57
cotton,43.41,39.58,23.84,31.29
cotton,23.23,17.64,31.08,25.54
cotton,24.98,19.21,0.01,42.2
cotton,47.64,36.26,2.47,40.43
cotton,37.5,22.29,1.48,37.15
cotton,12.4,20.2,3.49,45.63
cotton,24.29,41.8,9.47,48.04
cotton,19.27,27.05,8.43,42.23
cotton,45.81,44.98,22.01,35.35
cotton,20.24,11.07,3.43,41.63
cotton,30.42,27.87,14.32,34.93
cotton,40.08,11.76,0.53,36.06
cotton,43.07,25.34,27.41,20.7
cotton,12.98,35.36,1.77,51.57
cotton,46.5,19.84,2.86,35.4
cotton,33.53,36.28,2.01,42.29
cotton,56.37,18.29,16.97,27.63
cotton,33.24,12.32,0.29,38.07
cotton,59.61,28.37,22.39,25.7
cotton,11.81,43.65,16.53,46.67
cotton,65.99,19.29,14.18,26.15
cotton,60.89,43.15,32.42,29.37
cotton,54.34,19.71,4.96,34.01
cotton,47.36,44.65,5.61,43.22
cotton,30.4,12.76,8.77,33.7
cotton,60.07,42.74,3.08,40.28
cotton,32.35,42.5,0.96,44.92
cotton,68.08,25.64,10.44,32.08
cotton,24.8,26.48,16.27,37.14
cotton,44.67,41.65,25.51,31.73
cotton,55.42,11.95,0.1,35.9
cotton,34.67,24.08,32.39,20.76
cotton,63.73,41.82,5.65,38.85
cotton,21.44,16.46,6.28,41.6
cotton,35.8,39.08,1.92,43.51
cotton,27.28,27.25,5.35,43.12
cotton,45.76,25.18,2.69,35.51
cotton,64.14,22.04,19.81,24.0
cotton,49.52,42.6,25.8,33.6
cotton,63.9,23.98,5.94,34.44
cotton,10.65,38.93,24.22,43.54
cotton,37.84,14.15,59.11,12.0
cotton,22.88,12.35,13.55,36.56
cotton,16.2,16.04,12.59,42.54
cotton,27.78,42.84,25.62,36.33
cotton,30.85,11.76,0.81,39.39
cotton,51.52,26.03,3.85,32.96
cotton,44.66,22.57,26.02,23.6
cotton,59.24,26.71,6.48,35.77
cotton,29.69,17.32,1.33,38.2
cotton,38.0,26.87,27.57,23.63
cotton,58.5,38.83,7.28,36.54
cotton,37.55,20.62,40.45,16.38
cotton,11.96,26.65,7.86,48.88
cotton,19.67,32.97,53.19,24.93
cotton,14.11,24.62,1.86,47.92
cotton,46.77,42.85,16.26,35.28
cotton,43.04,24.11,26.9,21.85
cotton,58.88,31.41,7.01,34.96
cotton,31.29,24.46,16.9,31.42
cotton,49.49,12.45,7.54,30.66
cotton,59.64,11.47,8.15,30.4
cotton,20.09,40.78,12.21,45.78
cotton,53.89,43.53,3.74,39.78
cotton,63.17,42.7,37.23,27.12
cotton,34.19,36.33,11.37,40.21
cotton,50.65,25.0,19.72,26.29
cotton,59.98,28.91,27.93,24.61
cotton,35.88,23.27,36.99,20.25
cotton,39.04,27.99,5.53,34.75
cotton,44.38,21.38,0.6,37.11
cotton,30.75,33.49,24.55,30.84
cotton,66.81,24.01,22.94,24.84
cotton,49.57,34.08,1.92,38.77
cotton,66.31,16.34,14.62,26.62
cotton,42.79,24.6,2.62,33.59
cotton,20.26,24.64,21.24,33.46
cotton,11.0,33.16,13.84,45.66
cotton,19.78,18.18,0.36,43.36
cotton,62.1,42.43,8.16,38.73
cotton,13.04,11.38,12.8,40.2
cotton,45.0,10.4,23.22,23.27
cotton,28.39,11.41,13.31,34.09
cotton,42.65,19.63,18.54,25.62
cotton,26.29,41.65,7.04,44.96
cotton,35.57,39.13,24.57,32.07
cotton,23.46,17.91,25.5,26.72
cotton,62.24,12.92,3.56,32.31
cotton,55.15,11.8,10.17,27.01
cotton,33.67,28.55,2.64,38.53
cotton,44.32,38.19,21.42,30.91
cotton,26.09,22.64,7.88,37.72
cotton,50.78,11.98,0.53,37.09
cotton,21.61,32.45,4.51,44.31
cotton,63.17,41.35,5.29,39.79
cotton,24.43,33.53,26.24,31.76
cotton,50.39,38.85,7.59,39.07
cotton,31.63,33.49,4.73,40.35
cotton,14.87,44.74,2.55,55.44
cotton,44.67,40.31,5.13,41.84
cotton,38.06,31.68,7.94,33.42
cotton,43.85,39.77,3.38,39.64
cotton,66.07,34.12,26.0,29.45
cotton,10.97,38.64,0.61,55.26
cotton,63.39,44.72,5.22,42.87
cotton,25.18,40.29,1.63,47.49
cotton,17.56,44.27,16.81,45.32
cotton,50.59,30.8,13.86,33.33
cotton,50.95,30.14,8.41,35.83
cotton,23.58,34.23,3.99,44.54
cotton,47.52,36.15,3.7,40.82
cotton,12.7,35.7,6.26,50.52
cotton,38.71,42.51,6.05,40.68
cotton,14.9,19.05,0.42,46.05
cotton,47.88,24.92,11.92,29.79
cotton,49.83,43.79,0.78,42.42
cotton,63.42,30.19,12.45,31.29
cotton,15.39,31.03,6.25,46.96
cotton,65.04,24.23,2.32,33.64
cotton,41.53,34.42,34.58,24.64
cotton,57.53,33.67,17.07,31.36
cotton,10.07,19.52,3.69,47.01
cotton,49.71,32.18,13.5,34.47
cotton,43.39,22.0,2.17,32.45
cotton,15.67,39.1,37.59,33.26
cotton,34.12,35.51,22.7,32.53
cotton,17.09,10.0,18.68,34.02
cotton,10.77,28.91,28.57,35.89
cotton,67.46,29.8,10.84,33.25
cotton,32.8,31.25,7.38,37.39
cotton,24.42,13.32,5.67,39.13
cotton,41.91,40.58,81.29,13.24
cotton,44.96,38.44,5.94,37.78
cotton,50.35,33.88,5.68,34.86
cotton,17.99,32.13,2.06,50.92
cotton,52.04,36.37,30.94,26.73
cotton,40.0,35.56,14.48,32.89
cotton,47.03,39.75,3.28,38.25
cotton,17.53,43.72,1.72,57.17
cotton,42.48,13.01,0.88,33.6
cotton,16.33,30.5,11.79,44.54
cotton,59.2,11.46,10.34,27.92
cotton,51.36,18.83,5.52,33.5
cotton,58.6,30.41,19.65,29.3
cotton,31.89,32.43,9.42,39.41
cotton,43.39,22.55,36.34,16.07
cotton,11.26,21.05,0.88,48.67
cotton,29.88,33.65,7.56,42.35
cotton,55.38,25.9,7.97,33.3
cotton,68.16,23.22,0.96,33.94
cotton,30.36,27.71,2.65,37.6
cotton,34.04,14.03,32.22,20.54
cotton,34.89,23.55,16.17,33.23
cotton,13.69,38.48,42.33,31.5
cotton,48.93,43.41,2.46,46.4
cotton,44.9,24.05,6.19,32.31
cotton,17.61,23.71,2.66,43.57
cotton,13.51,29.33,13.57,44.48
cotton,62.31,30.19,6.36,35.78
cotton,14.76,29.8,35.79,34.07
cotton,33.78,20.37,2.32,36.31
cotton,45.74,12.82,42.09,12.23
cotton,55.31,30.53,26.44,25.52
cotton,47.81,39.0,22.95,29.48
cotton,26.62,42.93,1.99,49.63
cotton,12.42,24.19,10.89,42.02
cotton,44.84,42.76,16.73,37.41
cotton,67.03,10.77,60.7,12.0
cotton,15.17,38.5,4.93,50.45
cotton,48.64,23.33,0.84,33.91
cotton,45.97,41.58,7.25,39.17
cotton,12.9,38.72,26.26,38.98
cotton,45.28,22.36,24.13,25.38
cotton,47.89,37.45,13.69,35.06
cotton,34.85,43.53,11.68,38.47
cotton,47.54,30.01,3.07,37.83
cotton,13.58,31.15,21.64,37.82
cotton,49.99,12.8,8.75,30.83
cotton,19.8,16.46,3.39,41.59
cotton,33.87,27.91,9.9,35.37
cotton,32.97,39.37,2.36,43.24
cotton,14.27,30.09,12.52,43.97
cotton,62.68,29.53,48.2,17.46
cotton,12.74,43.11,27.69,43.16
cotton,27.8,12.7,2.79,36.64
cotton,31.49,44.63,17.3,39.82
cotton,66.94,14.99,7.22,30.2
cotton,10.25,33.47,15.4,45.83
cotton,34.65,27.14,8.05,36.0
cotton,53.72,21.04,7.49,32.03
cotton,24.22,13.39,2.96,41.55
cotton,42.82,26.63,38.35,19.64
cotton,14.36,19.82,6.46,44.06
cotton,59.84,17.86,7.65,30.65
cotton,34.58,44.24,2.99,44.34
cotton,53.85,24.7,12.95,31.62
cotton,59.96,38.15,30.2,27.0
cotton,18.4,24.55,11.93,39.63
cotton,34.16,28.19,84.94,12.0
cotton,33.76,14.66,2.59,35.27
cotton,66.96,40.79,35.63,27.15
cotton,39.03,24.64,6.64,31.82
cotton,45.63,30.15,2.64,41.19
cotton,44.22,17.35,20.34,22.79
cotton,11.51,22.42,22.73,34.59
cotton,51.7,29.86,23.86,27.26
cotton,54.1,31.35,10.05,33.52
cotton,35.15,30.98,10.81,34.85
cotton,27.29,10.23,10.28,37.07
cotton,11.44,30.47,42.57,28.99
cotton,20.46,26.51,1.44,46.55
cotton,34.44,28.25,34.03,26.56
cotton,21.78,10.79,29.67,29.77
cotton,45.82,38.36,8.42,38.01
cotton,54.99,41.96,12.73,36.16
cotton,21.92,18.64,5.49,39.21
cotton,43.31,30.58,8.34,33.57
cotton,15.27,16.01,10.95,40.95
cotton,22.84,19.91,7.67,40.89
cotton,57.92,42.65,0.31,45.28
cotton,19.23,41.02,9.2,50.61
cotton,50.74,42.61,86.89,14.78
cotton,53.21,20.05,31.77,18.7
cotton,23.24,14.83,29.4,28.52
cotton,40.0,33.62,4.1,39.19
cotton,28.76,24.37,3.53,40.82
cotton,68.59,32.6,40.9,20.7
cotton,55.95,34.21,50.56,13.95
cotton,33.61,14.58,16.71,30.32
cotton,22.41,27.66,5.61,45.21
cotton,35.65,32.58,20.51,30.58
cotton,26.15,16.95,22.94,27.63
cotton,64.56,22.96,20.87,23.09
cotton,13.75,27.02,1.73,46.62
cotton,24.91,21.09,24.82,28.85
cotton,61.52,40.0,21.7,32.83
cotton,18.8,34.16,43.51,26.35
cotton,40.03,32.6,10.72,36.13
cotton,17.2,20.92,24.32,32.91
cotton,49.74,36.31,25.07,29.1
cotton,66.74,20.95,29.33,20.94
cotton,54.52,33.72,4.36,36.82
cotton,62.38,15.91,0.83,34.28
cotton,60.95,23.42,2.76,37.3
cotton,60.19,29.21,3.15,36.85
cotton,46.26,26.13,26.47,26.53
cotton,59.77,34.83,1.67,40.41
cotton,51.82,22.7,31.71,21.23
cotton,53.52,13.94,7.86,31.18
cotton,47.88,19.47,4.29,33.14
cotton,66.52,20.44,22.41,22.26
cotton,10.64,29.05,55.81,23.07
cotton,32.15,22.5,6.33,31.89
cotton,62.79,27.69,10.63,33.78
cotton,18.3,44.4,4.31,52.29
cotton,45.72,24.53,8.23,31.46
cotton,57.1,16.85,25.74,20.64
cotton,37.48,18.98,20.92,28.41
cotton,40.77,21.23,13.6,28.29
cotton,65.24,22.08,0.84,35.04
cotton,22.25,24.65,3.72,43.31
cotton,20.07,14.21,1.05,44.46
cotton,53.44,42.51,8.45,39.43
cotton,30.93,23.12,14.57,31.08
cotton,53.12,13.87,0.54,34.57
cotton,58.14,21.94,8.81,30.29
cotton,50.54,27.81,29.65,22.58
cotton,69.33,26.91,65.02,12.0
cotton,55.27,18.7,11.6,29.63
cotton,30.73,10.24,7.75,34.45
cotton,24.09,38.66,6.17,44.54
cotton,24.01,12.39,3.11,39.46
cotton,43.33,20.2,8.1,32.33
cotton,64.32,27.25,6.01,34.04
cotton,16.41,43.37,0.93,52.51
cotton,29.22,15.75,22.93,26.8
cotton,17.35,32.22,1.98,49.42
cotton,42.68,12.72,46.67,12.0
cotton,24.82,40.09,2.77,50.44
cotton,66.09,41.82,25.69,30.59
cotton,63.29,16.97,5.01,31.21
cotton,33.6,29.06,2.61,37.6
cotton,51.47,15.86,5.57,34.38
cotton,54.37,32.59,2.54,38.39
cotton,42.82,13.06,7.11,30.69
cotton,26.44,43.45,46.07,26.91
cotton,31.14,11.51,2.96,38.34
cotton,18.47,36.72,1.73,49.91
cotton,68.88,23.36,22.39,26.54
cotton,21.52,15.11,41.72,20.24
cotton,65.06,41.06,14.73,33.79
cotton,48.14,22.46,2.41,32.72
cotton,45.79,38.5,7.22,37.97
cotton,24.25,20.5,15.44,33.86
cotton,46.06,34.36,6.75,36.24
cotton,38.14,38.03,2.98,41.96
cotton,16.59,40.93,6.3,48.69
cotton,13.34,31.34,4.13,50.79
cotton,33.21,12.82,2.39,36.06
cotton,64.65,10.21,9.92,29.64
cotton,17.39,20.77,39.07,26.63
cotton,42.8,40.96,12.11,35.72
cotton,42.07,16.84,2.73,33.27
cotton,32.32,36.59,6.21,42.48
cotton,67.12,35.83,13.65,33.75
cotton,23.62,36.04,37.74,27.01
cotton,35.43,21.97,48.88,12.15
cotton,31.1,41.83,12.62,36.68
cotton,55.73,38.41,6.27,40.55
cotton,31.8,37.79,42.45,23.85
cotton,47.39,35.96,24.53,28.22
cotton,13.08,24.07,16.8,41.58
cotton,37.02,36.21,6.62,37.41
cotton,54.96,29.1,3.42,37.26
cotton,27.51,36.2,9.88,40.43
cotton,63.88,28.38,18.43,24.85
cotton,25.13,25.64,1.98,43.69
cotton,60.35,29.27,2.49,35.28
cotton,53.69,31.01,19.71,26.36
cotton,48.91,12.4,34.15,19.22
cotton,17.16,21.47,25.37,30.31
cotton,38.41,39.91,6.23,42.42
cotton,62.18,13.08,22.5,23.26
cotton,35.82,15.79,18.39,28.22
cotton,42.12,32.24,3.28,38.8
cotton,61.48,33.34,8.57,32.83
cotton,67.19,35.17,39.92,18.17
cotton,13.17,35.41,1.94,52.16
cotton,28.17,28.64,12.47,35.42
cotton,32.78,31.6,52.51,16.75
cotton,53.66,42.29,21.55,30.83
cotton,50.0,31.82,13.84,32.98
cotton,39.39,28.5,6.11,33.11
cotton,58.31,16.5,1.33,34.47
cotton,36.17,33.04,8.64,37.88
cotton,30.82,42.65,38.39,26.04
cotton,40.14,21.48,20.04,25.12
cotton,30.18,42.22,0.18,47.0
cotton,43.17,35.92,9.95,39.58
cotton,24.2,26.92,8.41,40.84
cotton,14.49,13.72,27.25,31.78
cotton,40.29,36.91,0.96,39.97
cotton,44.61,14.17,0.56,36.49
cotton,25.74,24.76,0.61,42.29
cotton,36.94,30.22,12.69,31.86
cotton,16.4,22.84,1.57,43.89
cotton,56.0,43.82,52.64,18.23
cotton,52.05,19.98,14.95,29.05
cotton,37.34,26.87,21.27,26.47
cotton,65.48,11.97,9.97,28.28
cotton,64.77,31.36,11.86,32.06
cotton,61.12,29.57,10.85,31.16
cotton,15.97,10.56,49.73,23.0
cotton,14.78,33.91,40.45,28.84
maize,44.54,14.41,13.07,21.17
maize,62.79,32.7,34.43,16.81
maize,47.41,14.6,5.56,25.53
maize,28.06,16.44,21.19,26.97
maize,38.45,17.9,14.38,23.87
maize,38.11,15.18,62.65,9.6
maize,22.55,14.56,3.41,36.04
maize,43.92,10.74,0.53,30.68
maize,36.75,38.58,32.47,24.08
maize,64.79,23.58,26.54,13.67
maize,18.02,42.74,20.88,40.1
maize,31.8,42.84,4.84,42.33
maize,29.93,34.53,21.74,31.75
maize,13.83,23.55,4.99,43.22
maize,28.27,44.4,15.44,40.44
maize,36.07,40.43,2.99,39.01
maize,66.86,17.66,5.92,22.16
maize,46.49,25.56,20.34,22.56
maize,23.7,12.05,5.35,33.25
maize,31.29,24.0,0.89,36.23
maize,45.0,40.95,2.47,38.72
maize,35.16,34.54,7.93,36.83
maize,40.28,10.26,17.65,21.13
maize,32.1,44.27,8.19,40.62
maize,40.12,41.85,18.95,32.52
maize,61.86,25.99,9.67,24.92
maize,33.16,43.83,17.92,33.8
maize,42.98,24.6,31.53,15.98
maize,22.24,38.93,12.24,37.95
maize,38.16,40.03,5.46,37.58
maize,21.56,14.52,5.3,35.92
maize,23.65,15.82,6.07,37.09
maize,66.4,22.01,66.5,9.6
maize,63.47,26.11,18.55,19.88
maize,69.02,11.76,1.53,23.78
maize,21.06,11.38,0.33,40.33
maize,56.47,14.71,9.46,19.31
maize,11.63,37.42,0.16,48.0
maize,55.71,41.27,8.51,28.49
maize,33.35,41.06,33.66,29.84
maize,30.15,31.53,39.24,20.74
maize,37.17,19.75,47.87,9.6
maize,18.57,30.29,4.98,41.56
maize,69.93,11.92,12.96,17.16
maize,14.95,15.41,8.69,34.87
maize,28.99,13.04,5.42,32.86
maize,67.99,43.06,6.12,34.24
maize,10.37,38.37,44.45,29.98
maize,15.48,15.65,48.57,16.77
maize,25.46,25.75,17.71,31.33
maize,53.99,44.84,5.08,37.18
maize,34.34,15.92,56.88,9.6
maize,61.2,27.44,13.87,23.21
maize,51.7,28.03,69.51,9.6
maize,46.68,22.98,22.19,17.8
maize,30.82,25.11,22.83,24.36
maize,39.05,37.79,12.89,34.01
maize,24.3,17.85,10.53,31.48
maize,25.65,10.32,15.67,24.76
maize,68.02,29.99,29.86,16.75
maize,18.37,29.92,30.37,32.27
maize,32.32,13.24,9.18,30.3
maize,33.67,40.35,4.2,39.06
maize,63.73,43.83,8.79,30.07
maize,29.26,28.41,17.46,32.18
maize,13.1,11.73,7.32,37.59
maize,31.21,21.05,10.13,29.1
maize,28.57,44.12,7.94,41.24
maize,36.68,30.18,61.42,9.6
maize,52.96,31.26,1.39,28.94
maize,50.61,12.24,13.6,17.96
maize,60.5,11.06,27.85,13.1
maize,37.62,17.62,2.15,29.64
maize,47.21,29.07,2.01,28.99
maize,27.38,18.36,3.6,36.99
maize,23.05,22.83,7.44,35.27
maize,68.59,43.41,24.15,22.38
maize,40.36,37.22,29.31,22.03
maize,60.69,22.59,17.43,18.52
maize,52.09,10.34,7.89,21.8
maize,29.76,34.27,21.8,32.12
maize,27.64,25.62,19.48,28.49
maize,51.58,44.56,3.83,36.34
maize,64.91,15.47,20.9,17.95
maize,44.1,19.61,9.65,25.77
maize,63.34,29.93,14.98,20.57
maize,41.12,11.79,3.98,25.06
maize,20.91,27.64,5.85,39.9
maize,25.49,26.24,2.15,38.35
maize,56.55,38.28,21.9,23.64
maize,16.84,32.54,26.97,36.04
maize,37.5,28.5,0.52,37.04
maize,48.34,12.85,8.56,23.06
maize,18.0,34.21,23.77,32.28
maize,19.8,13.65,2.36,38.53
maize,38.04,13.73,15.73,25.1
maize,62.08,38.99,14.75,26.41
maize,33.1,43.0,14.14,35.61
maize,60.1,34.86,1.79,30.5
maize,48.35,21.93,90.94,9.6
maize,25.81,19.77,40.03,18.72
maize,68.47,44.15,1.01,36.72
maize,59.31,32.62,15.63,24.56
maize,68.95,41.91,8.67,29.92
maize,12.4,22.68,26.26,31.1
maize,13.31,24.94,9.5,43.31
maize,65.71,32.44,5.6,27.85
maize,68.35,22.6,9.75,23.03
maize,31.32,33.89,16.28,31.14
maize,28.94,14.38,15.99,28.87
maize,12.39,30.92,30.57,32.62
maize,37.56,12.69,16.66,24.72
maize,59.28,18.56,8.2,22.59
maize,21.55,13.57,36.31,18.28
maize,59.23,36.6,0.75,32.75
maize,30.54,29.13,1.44,40.26
maize,55.4,30.39,3.1,28.67
maize,13.42,30.57,27.52,33.0
maize,11.05,11.72,12.76,36.34
maize,30.98,30.87,4.81,38.79
maize,11.6,35.73,14.74,45.34
maize,50.51,17.21,6.52,23.52
maize,17.57,14.54,16.91,30.42
maize,16.34,38.45,12.97,43.54
maize,47.1,37.35,18.22,26.89
maize,27.17,32.42,5.66,39.89
maize,67.48,11.17,13.01,20.28
maize,20.55,18.24,10.23,33.0
maize,64.89,17.41,2.34,24.84
maize,64.71,15.13,15.57,20.65
maize,23.97,15.49,17.25,31.29
maize,28.57,25.68,7.8,35.63
maize,69.05,20.23,5.24,25.57
maize,25.14,42.04,4.63,41.55
maize,63.75,13.62,16.03,17.91
maize,66.74,33.69,5.38,30.32
maize,21.3,20.63,1.46,41.27
maize,18.48,14.56,15.47,31.92
maize,21.83,13.42,2.74,39.33
maize,42.24,33.7,17.22,25.27
maize,47.72,19.31,0.6,28.71
maize,44.17,39.13,71.74,9.6
maize,19.82,34.21,16.83,36.02
maize,57.91,13.75,22.76,15.81
maize,64.61,23.4,14.94,18.11
maize,28.62,36.67,41.27,19.55
maize,66.45,16.12,31.16,9.6
maize,14.04,19.38,36.49,25.77
maize,47.99,35.24,4.46,33.74
maize,18.77,38.81,4.02,44.23
maize,49.14,24.18,13.6,21.7
maize,59.18,44.98,3.56,35.66
maize,25.91,33.2,50.48,17.69
maize,57.71,14.75,56.87,9.6
maize,67.86,15.73,5.34,22.9
maize,58.96,23.24,1.39,26.65
maize,30.53,44.35,14.9,36.07
maize,69.17,38.73,4.96,31.37
maize,14.2,11.98,1.92,42.23
maize,39.8,39.5,8.86,34.97
maize,52.52,35.62,2.87,33.66
maize,14.24,22.65,11.48,36.14
maize,69.77,26.61,25.4,18.81
maize,45.72,41.03,7.94,32.69
maize,46.26,32.05,8.1,28.15
maize,54.16,21.2,10.58,20.99
maize,19.75,43.59,28.62,35.14
maize,55.74,15.04,0.13,27.49
maize,11.2,30.53,9.12,43.56
maize,35.36,35.13,8.77,35.07
maize,53.93,18.16,25.16,11.45
maize,24.2,31.98,26.57,30.54
maize,34.94,19.04,30.26,17.17
maize,39.27,17.15,14.78,26.36
maize,31.52,44.85,9.81,44.3
maize,65.01,38.03,9.0,28.62
maize,53.12,30.52,10.17,25.68
maize,24.75,42.02,6.13,41.84
maize,67.14,28.66,14.98,21.16
maize,32.55,13.47,14.63,26.72
maize,36.81,37.23,3.74,37.27
maize,65.6,34.86,8.14,26.94
maize,41.04,12.95,62.58,9.6
maize,45.15,13.83,50.65,9.6
maize,20.49,32.68,4.22,44.44
maize,50.41,31.51,33.45,15.78
maize,14.72,21.58,4.28,42.52
maize,22.72,18.36,4.95,37.64
maize,34.67,18.2,0.3,30.92
maize,10.43,33.81,26.18,35.17
maize,18.8,15.59,23.42,27.61
maize,47.35,20.81,6.9,25.05
maize,56.18,38.38,7.67,30.13
maize,56.31,26.94,34.17,13.37
maize,64.47,13.06,41.35,9.6
maize,22.05,38.18,28.47,33.23
maize,27.35,43.33,0.77,46.13
maize,44.55,32.58,0.26,32.39
maize,67.62,11.56,2.32,24.9
maize,65.94,33.31,25.95,18.74
maize,10.8,28.97,9.23,42.23
maize,51.07,27.61,21.73,18.98
maize,39.12,15.23,15.67,23.26
maize,46.79,15.5,49.19,9.6
maize,41.1,12.55,14.79,23.76
maize,59.07,44.26,10.45,30.34
maize,37.3,36.37,2.13,41.0
maize,15.37,24.63,28.79,32.88
maize,61.37,13.47,1.43,26.16
maize,17.73,35.2,1.6,46.04
maize,47.39,22.46,23.33,18.29
maize,24.14,34.98,31.03,27.01
maize,17.61,40.33,13.51,42.46
maize,19.65,34.51,21.34,34.05
maize,16.35,27.71,25.28,32.42
maize,67.02,28.75,7.52,27.65
maize,60.89,27.25,9.58,26.73
maize,59.92,24.12,6.08,25.36
maize,39.52,30.05,4.08,33.39
maize,30.04,13.74,4.09,35.12
maize,66.96,20.68,2.77,22.85
maize,12.11,21.31,11.78,37.9
maize,43.1,22.48,8.89,26.3
maize,25.49,18.52,9.18,33.21
maize,55.57,17.21,18.53,16.65
maize,56.55,21.86,12.44,20.82
